# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
   12.625250501   -1.263209679   -1.263212031   -1.263207644
   12.685370741   -1.265431342   -1.265431781   -1.265431073
   12.745490982   -1.237388514   -1.237387345   -1.237390728
   12.805611222   -1.161057054   -1.161056421   -1.161059403
   12.865731463   -1.070815143   -1.070814667   -1.070817870
   12.925851703   -0.988931346   -0.988930872   -0.988933973
   12.985971944   -0.935640720   -0.935640806   -0.935642174
   13.046092184   -0.949778299   -0.949779408   -0.949777757
   13.106212425   -0.947155397   -0.947156052   -0.947155928
   13.166332665   -0.889894281   -0.889894355   -0.889895856
   13.226452906   -0.905723122   -0.905723513   -0.905724778
   13.286573146   -0.967099965   -0.967101336   -0.967101201
   13.346693387   -0.964177156   -0.964178091   -0.964179207
   13.406813627   -0.922814983   -0.922816012   -0.922817468
   13.466933868   -0.890478278   -0.890479812   -0.890480076
   13.527054108   -0.885599426   -0.885600927   -0.885601192
   13.587174349   -0.884637529   -0.884638450   -0.884639939
   13.647294589   -0.861785178   -0.861785551   -0.861788156
   13.707414830   -0.826113309   -0.826113971   -0.826115578
   13.767535070   -0.793480426   -0.793481617   -0.793481671
   13.827655311   -0.768975713   -0.768976861   -0.768976617
   13.887775551   -0.742918787   -0.742919636   -0.742921139
   13.947895792   -0.696490714   -0.696491834   -0.696493629
   14.008016032   -0.645332516   -0.645333728   -0.645335316
   14.068136273   -0.603515942   -0.603517317   -0.603518454
   14.128256513   -0.577178269   -0.577179787   -0.577180549
   14.188376754   -0.540517217   -0.540518680   -0.540519301
   14.248496994   -0.506826273   -0.506827412   -0.506828443
   14.308617234   -0.475865098   -0.475865471   -0.475868168
   14.368737475   -0.471631676   -0.471631763   -0.471634309
   14.428857715   -0.450039532   -0.450039145   -0.450041541
   14.488977956   -0.473742518   -0.473742171   -0.473744065
   14.549098196   -0.505215705   -0.505215801   -0.505216822
   14.609218437   -0.504823578   -0.504823281   -0.504825699
   14.669338677   -0.496405381   -0.496405268   -0.496408608
   14.729458918   -0.501209366   -0.501209815   -0.501212714
