# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    6.372745491    5.736044224    5.736054609    5.736044380
    6.432865731    4.659799853    4.659807324    4.659797040
    6.492985972    3.478700184    3.478694565    3.478702781
    6.553106212    2.566520949    2.566515586    2.566523457
    6.613226453    2.071310233    2.071308183    2.071311240
    6.673346693    1.864251245    1.864251415    1.864251173
    6.733466934    1.884855009    1.884857451    1.884853770
    6.793587174    2.188731621    2.188737593    2.188728439
    6.853707415    2.846164586    2.846172536    2.846158781
    6.913827655    3.478687610    3.478689746    3.478681670
    6.973947896    3.418214204    3.418202709    3.418220722
    7.034068136    2.672236817    2.672221269    2.672248710
    7.094188377    2.315124914    2.315109910    2.315137099
    7.154308617    2.568294566    2.568272771    2.568313305
    7.214428858    3.358562262    3.358540196    3.358580470
    7.274549098    3.705909533    3.705922385    3.705892530
    7.334669339    3.382588444    3.382603727    3.382568391
    7.394789579    3.039491850    3.039481702    3.039500462
    7.454909820    2.826452876    2.826426581    2.826479375
    7.515030060    3.083003376    3.082984769    3.083017859
    7.575150301    2.809362055    2.809381237    2.809330764
    7.635270541    2.199779653    2.199795635    2.199753775
    7.695390782    1.939777909    1.939789285    1.939760368
    7.755511022    1.938864242    1.938875484    1.938847621
    7.815631263    2.071891714    2.071892783    2.071885080
    7.875751503    2.057329796    2.057329614    2.057326733
    7.935871743    2.043278025    2.043281590    2.043273698
    7.995991984    1.867829481    1.867832291    1.867827612
    8.056112224    1.658391186    1.658394304    1.658389052
    8.116232465    1.797366885    1.797372225    1.797362702
    8.176352705    2.408405215    2.408414299    2.408397818
    8.236472946    3.348036146    3.348042233    3.348030300
    8.296593186    3.914879519    3.914879004    3.914879156
    8.356713427    3.818597375    3.818591043    3.818606562
    8.416833667    2.941265042    2.941258788    2.941273318
    8.476953908    2.388680682    2.388677326    2.388685889
    8.537074148    2.121681063    2.121681798    2.121684309
    8.597194389    2.227289744    2.227292419    2.227292582
    8.657314629    2.350420367    2.350419929    2.350425473
    8.717434870    2.291359545    2.291362709    2.291358739
    8.777555110    2.210339160    2.210334720    2.210345301
    8.837675351    1.920663156    1.920657535    1.920671159
    8.897795591    1.585657828    1.585655339    1.585663047
    8.957915832    1.337120115    1.337117325    1.337124640
    9.018036072    1.116332132    1.116330254    1.116335142
    9.078156313    1.068351843    1.068351468    1.068353212
    9.138276553    1.231546404    1.231547753    1.231546519
    9.198396794    1.662548699    1.662551882    1.662547981
    9.258517034    2.106796728    2.106800612    2.106795860
    9.318637275    2.246148759    2.246151954    2.246149074
    9.378757515    2.350309958    2.350314650    2.350307671
    9.438877756    2.527472256    2.527472745    2.527473190
    9.498997996    2.460006002    2.459993337    2.460016013
    9.559118236    1.984061994    1.984055729    1.984066708
    9.619238477    1.605825109    1.605821092    1.605827948
    9.679358717    1.364027176    1.364026394    1.364026808
    9.739478958    1.067432235    1.067433422    1.067430595
    9.799599198    0.944621164    0.944620394    0.944621534
    9.859719439    0.958521040    0.958520239    0.958522087
    9.919839679    0.797813036    0.797815602    0.797811696
    9.979959920    0.577137538    0.577140035    0.577135908
   10.040080160    0.447503248    0.447504550    0.447502398
   10.100200401    0.382669725    0.382670378    0.382669317
   10.160320641    0.355524851    0.355525202    0.355524645
   10.220440882    0.357476186    0.357476364    0.357476109
   10.280561122    0.392727677    0.392727666    0.392727782
   10.340681363    0.478044215    0.478044092    0.478044465
   10.400801603    0.574138059    0.574138284    0.574138194
   10.460921844    0.550974816    0.550975478    0.550974769
   10.521042084    0.529487261    0.529487860    0.529487371
   10.581162325    0.598309666    0.598309344    0.598310664
   10.641282565    0.754664702    0.754662129    0.754667826
   10.701402806    1.030178394    1.030175050    1.030181920
   10.761523046    1.316821248    1.316818792    1.316822196
   10.821643287    1.625441796    1.625439782    1.625443019
   10.881763527    1.788531100    1.788533364    1.788526911
   10.941883768    1.739718913    1.739723388    1.739710236
   11.002004008    1.458841819    1.458842740    1.458835873
   11.062124248    1.195028984    1.195027557    1.195026857
   11.122244489    0.996990550    0.996987701    0.996991802
   11.182364729    0.843595180    0.843593543    0.843596371
   11.242484970    0.688123394    0.688122331    0.688124124
   11.302605210    0.646767485    0.646765977    0.646767604
